applicant_id,full_name,age,city,university,degree,skills,applied_role,application_date,status,email
1,Hamza Khan,22.0,Islamabad,Punjab University,BS English,"Canva, Python",Digital Marketing Intern,2024-05-19,Applied,hamza.khan76@gmail.com
2,Mahnoor Iqbal,21.0,Lahore,COMSATS,BBA,"Photoshop, UI/UX Design",Digital Marketing Intern,2024-04-17,Shortlisted,mahnoor.iqbal58@gmail.com
3,Fahad Butt,23.0,Not specified,FAST-NUCES,BBA,"Social Media Marketing, Python",UI/UX Design Intern,24/01/2024,Rejected,fahad.butt13@gmail.com
4,Bilal Hussain,25.0,Lahore,University of Education Lahore,BS English,"UI/UX Design, SEO",Virtual Assistant Intern,"April 02, 2024",Shortlisted,bilal.hussain25@gmail.com
5,Hassan Malik,21.0,Karachi,LUMS,BBA,"SEO, Data Analysis, Social Media Marketing",Virtual Assistant Intern,11/02/2024,Applied,hassan.malik46@gmail.com
6,Talha Ahmed,21.0,Karachi,University of Education Lahore,BS Computer Science,Not specified,Digital Marketing Intern,"February 26, 2024",Rejected,talha.ahmed42@gmail.com
7,Sadia Chaudhry,21.0,Lahore,LUMS,BS Computer Science,"Social Media Marketing, Content Writing, Data Analysis, Graphic Design",Virtual Assistant Intern,2024-04-27,Rejected,sadia.chaudhry34@gmail.com
8,Nida Raza,23.0,Multan,University of Education Lahore,BS English,"Canva, UI/UX Design",Content Writing Intern,2024-05-06,Shortlisted,nida.raza97@gmail.com
9,Fahad Sheikh,21.0,Lahore,University of Education Lahore,BS Mass Communication,"MS Office, Data Analysis, UI/UX Design",Graphic Design Intern,"March 05, 2024",Rejected,fahad.sheikh2@gmail.com
10,Hamza Chaudhry,23.0,Multan,FAST-NUCES,BS Mass Communication,"Excel, SEO, UI/UX Design",UI/UX Design Intern,"February 15, 2024",Shortlisted,hamza.chaudhry14@gmail.com
11,Zainab Butt,21.0,Not specified,University of Education Lahore,BS Computer Science,"Social Media Marketing, Data Analysis, Excel, Python",UI/UX Design Intern,02/04/2024,Applied,zainab.butt31@gmail.com
12,Sana Hussain,21.0,Lahore,COMSATS,BS Mass Communication,"Canva, Data Analysis",Data Analytics Intern,2024-05-20,Shortlisted,sana.hussain34@gmail.com
13,Zeeshan Iqbal,22.0,Islamabad,University of Education Lahore,BBA,"Photoshop, Social Media Marketing, Data Analysis, UI/UX Design",Digital Marketing Intern,2024-01-31,Shortlisted,zeeshan.iqbal29@gmail.com
14,Nida Iqbal,18.0,Lahore,COMSATS,BS Computer Science,"Photoshop, Excel, Content Writing, Python",Graphic Design Intern,09/01/2024,Selected,nida.iqbal10@gmail.com
15,Mahnoor Farooq,18.0,Karachi,Punjab University,BBA,"Data Analysis, Graphic Design",Data Analytics Intern,2024-02-18,Selected,mahnoor.farooq13@gmail.com
16,Mariam Khan,20.0,Lahore,Punjab University,BS Computer Science,"Social Media Marketing, Python, Content Writing",Data Analytics Intern,2024-02-19,Shortlisted,mariam.khan69@gmail.com
17,Fatima Hussain,19.0,Karachi,LUMS,BS Computer Science,"UI/UX Design, Python, Excel",Data Analytics Intern,2024-05-18,Selected,fatima.hussain12@gmail.com
18,Umar Iqbal,22.0,Multan,FAST-NUCES,BS Software Engineering,"Graphic Design, Excel",Virtual Assistant Intern,09/04/2024,Selected,umar.iqbal59@gmail.com
19,Zainab Iqbal,20.0,Islamabad,University of Education Lahore,BS English,"MS Office, UI/UX Design",UI/UX Design Intern,"January 16, 2024",Selected,zainab.iqbal41@gmail.com
20,Rabia Farooq,19.0,Karachi,COMSATS,BS Computer Science,"Python, Canva, Photoshop, UI/UX Design",UI/UX Design Intern,01/03/2024,Applied,rabia.farooq16@gmail.com
21,Talha Malik,24.0,Multan,FAST-NUCES,BS Software Engineering,"Content Writing, Social Media Marketing, Photoshop",Graphic Design Intern,08/03/2024,Applied,talha.malik17@gmail.com
22,Ayesha Hussain,21.0,Lahore,FAST-NUCES,BBA,"Content Writing, UI/UX Design, SEO, Canva",Content Writing Intern,2024-03-30,Selected,ayesha.hussain32@gmail.com
23,Zeeshan Chaudhry,22.0,Lahore,COMSATS,BS Computer Science,"Photoshop, Python, Canva",Graphic Design Intern,2024-03-08,Rejected,zeeshan.chaudhry14@gmail.com
25,Iqra Ahmed,20.0,Islamabad,LUMS,BS Mass Communication,"Data Analysis, UI/UX Design, Graphic Design, Excel",Digital Marketing Intern,2024-01-29,Rejected,iqra.ahmed89@gmail.com
27,Ahmed Farooq,19.0,Multan,FAST-NUCES,BS Software Engineering,"Canva, Photoshop",Virtual Assistant Intern,2024-04-15,Shortlisted,ahmed.farooq23@gmail.com
28,Fatima Ahmed,22.0,Lahore,FAST-NUCES,BS Computer Science,"Data Analysis, Content Writing",Content Writing Intern,21/02/2024,Applied,fatima.ahmed45@gmail.com
29,Mahnoor Raza,20.0,Islamabad,COMSATS,BBA,"SEO, Social Media Marketing",Digital Marketing Intern,10/05/2024,Applied,mahnoor.raza87@gmail.com
31,Sadia Sheikh,20.0,Not specified,LUMS,BBA,"Graphic Design, Excel",Data Analytics Intern,"May 13, 2024",Applied,sadia.sheikh88@gmail.com
32,Iqra Sheikh,25.0,Islamabad,FAST-NUCES,BS Software Engineering,"SEO, UI/UX Design",Virtual Assistant Intern,"March 20, 2024",Rejected,iqra.sheikh53@gmail.com
33,Zeeshan Ahmed,21.0,Karachi,FAST-NUCES,BS Computer Science,"Graphic Design, Canva, SEO, Photoshop",Data Analytics Intern,2024-05-20,Rejected,zeeshan.ahmed39@gmail.com
35,Hassan Iqbal,23.0,Karachi,University of Education Lahore,BS Software Engineering,"Excel, Content Writing",Data Analytics Intern,"May 01, 2024",Shortlisted,hassan.iqbal99@gmail.com
36,Sadia Hussain,19.0,Multan,LUMS,BS Mass Communication,"Photoshop, Excel",Data Analytics Intern,28/01/2024,Applied,sadia.hussain29@gmail.com
37,Zeeshan Iqbal,22.0,Lahore,Punjab University,BS Mass Communication,"Data Analysis, UI/UX Design",Virtual Assistant Intern,"May 23, 2024",Selected,zeeshan.iqbal41@gmail.com
38,Zeeshan Hussain,21.0,Karachi,LUMS,BBA,Not specified,Data Analytics Intern,13/05/2024,Applied,zeeshan.hussain81@gmail.com
